"Group","Mean","SD","SE","Sample"
"0.1 PPM",24.0670461737419,27.1473440224967,4.87580692238528,31
"1 PPM",20.6823133294242,28.6431672135097,4.98613540767487,33
"control",22.7287581704,26.4947965530029,4.83726590952994,30
