"id","group","n_fish","n_shoal","n","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"tamagno_2023_exp_001_assay_002","control",4,1,4,10.89549911,0.514322917,4,2.5,1.6,0.514322917,1.028645834
"tamagno_2023_exp_002_assay_002","control",4,1,4,10.89549911,0.514322917,4,2.5,1.6,0.514322917,1.028645834
"tamagno_2023_exp_003_assay_002","control",4,1,4,10.89549911,0.514322917,4,2.5,1.6,0.514322917,1.028645834
"tamagno_2023_exp_004_assay_002","control",4,1,4,10.89549911,0.514322917,4,2.5,1.6,0.514322917,1.028645834
"tamagno_2023_exp_001_assay_002","treatment",4,1,4,16.05702015,0.763715278,4,2.5,1.6,0.763715278,1.527430556
"tamagno_2023_exp_002_assay_002","treatment",4,1,4,16.13528195,0.722222222,4,2.5,1.6,0.722222222,1.444444444
"tamagno_2023_exp_003_assay_002","treatment",4,1,4,15.35414172,0.74375,4,2.5,1.6,0.74375,1.4875
"tamagno_2023_exp_004_assay_002","treatment",4,1,4,16.31483688,0.666666667,4,2.5,1.6,0.666666667,1.333333334
