"Group","Mean","SD","SE","Sample"
"0.1 PPM",9.37613630466667,11.8326140679343,2.27718763911294,27
"1 PPM",5.8204768579,5.84358774963929,1.30666594406785,20
"control",13.8148667603333,19.4030801744291,3.54250156553869,30
