value,group
3.49068323,control
3.565217391,control
3.875776398,control
3.97515528,control
4.211180124,control
4.161490683,control
4.49689441,control
4.459627329,control
4.708074534,control
4.645962733,control
4.608695652,control
4.782608696,control
4.919254658,control
5.031055901,control
4.968944099,control
5.155279503,control
5.540372671,control
5.341614907,control
5.701863354,control
6.086956522,control
5.838509317,control
6.02484472,control
5.664596273,control
6.49689441,control
6.422360248,control
6.571428571,control
6.894409938,control
7.540372671,control
7.47826087,control
7.47826087,control
3.242236025,0.1 PPM 
3.254658385,0.1 PPM 
3.366459627,0.1 PPM 
3.465838509,0.1 PPM 
3.51552795,0.1 PPM 
3.51552795,0.1 PPM 
3.925465839,0.1 PPM 
3.925465839,0.1 PPM 
3.763975155,0.1 PPM 
3.826086957,0.1 PPM 
3.614906832,0.1 PPM 
3.602484472,0.1 PPM 
3.763975155,0.1 PPM 
3.900621118,0.1 PPM 
4.099378882,0.1 PPM 
4.285714286,0.1 PPM 
4.48447205,0.1 PPM 
4.583850932,0.1 PPM 
4.472049689,0.1 PPM 
4.360248447,0.1 PPM 
4.186335404,0.1 PPM 
4.186335404,0.1 PPM 
4.211180124,0.1 PPM 
4.832298137,0.1 PPM 
4.708074534,0.1 PPM 
4.99378882,0.1 PPM 
5.192546584,0.1 PPM 
2.832298137,1 PPM
3.105590062,1 PPM
3.304347826,1 PPM
3.416149068,1 PPM
3.590062112,1 PPM
3.838509317,1 PPM
4.062111801,1 PPM
4.086956522,1 PPM
4.409937888,1 PPM
4.260869565,1 PPM
4.49689441,1 PPM
4.111801242,1 PPM
4.186335404,1 PPM
4.248447205,1 PPM
4.447204969,1 PPM
4.52173913,1 PPM
4.757763975,1 PPM
4.658385093,1 PPM
4.745341615,1 PPM
4.99378882,1 PPM
5.031055901,1 PPM
5.093167702,1 PPM
5.378881988,1 PPM
5.540372671,1 PPM
5.540372671,1 PPM
5.900621118,1 PPM
5.888198758,1 PPM
6.173913043,1 PPM
6.198757764,1 PPM
6.310559006,1 PPM
6.571428571,1 PPM
6.832298137,1 PPM
