id,group,n_fish,n_shoal,n,mean,se
faria_2021_exp_001_assay_001,control,19,6.3333333,19,6.347368421,0.455434271
faria_2021_exp_002_assay_001,control,19,6.3333333,19,6.347368421,0.455434271
faria_2021_exp_001_assay_002,control,20,6.6666667,20,8.915662651,0.69291471
faria_2021_exp_002_assay_002,control,20,6.6666667,20,8.915662651,0.69291471
faria_2021_exp_001_assay_001,treatment,21,7,21,4.598095238,0.386786282
faria_2021_exp_002_assay_001,treatment,19,6.3333333,19,4.185263158,0.26476887
faria_2021_exp_001_assay_002,treatment,20,6.6666667,20,7.510843373,0.557819889
faria_2021_exp_002_assay_002,treatment,19,6.3333333,19,6.381737476,0.410211192
