value,group
3.104575163,control
2.941176471,control
2.614379085,control
3.921568627,control
5.882352941,control
4.411764706,control
4.248366013,control
2.124183007,control
4.248366013,control
8.496732026,control
10.94771242,control
15.19607843,control
12.25490196,control
10.45751634,control
10.62091503,control
15.52287582,control
15.35947712,control
12.09150327,control
13.88888889,control
13.7254902,control
19.77124183,control
29.08496732,control
34.1503268,control
53.43137255,control
62.09150327,control
62.74509804,control
71.24183007,control
82.35294118,control
94.93464052,control
0,control
0,0.1 PPM
11.2745098,0.1 PPM
6.862745098,0.1 PPM
7.679738562,0.1 PPM
5.065359477,0.1 PPM
3.758169935,0.1 PPM
5.065359477,0.1 PPM
6.699346405,0.1 PPM
7.189542484,0.1 PPM
3.921568627,0.1 PPM
4.248366013,0.1 PPM
4.575163399,0.1 PPM
8.660130719,0.1 PPM
10.94771242,0.1 PPM
11.92810458,0.1 PPM
15.19607843,0.1 PPM
13.7254902,0.1 PPM
11.92810458,0.1 PPM
17.81045752,0.1 PPM
23.36601307,0.1 PPM
19.93464052,0.1 PPM
21.73202614,0.1 PPM
27.77777778,0.1 PPM
29.73856209,0.1 PPM
31.69934641,0.1 PPM
43.1372549,0.1 PPM
53.59477124,0.1 PPM
68.95424837,0.1 PPM
69.77124183,0.1 PPM
100,0.1 PPM
99.83660131,0.1 PPM
-0.816993464,1 PPM
1.633986928,1 PPM
3.267973856,1 PPM
6.862745098,1 PPM
3.431372549,1 PPM
5.065359477,1 PPM
6.37254902,1 PPM
8.169934641,1 PPM
10.94771242,1 PPM
3.431372549,1 PPM
3.758169935,1 PPM
5.882352941,1 PPM
7.843137255,1 PPM
8.660130719,1 PPM
8.496732026,1 PPM
10.62091503,1 PPM
2.941176471,1 PPM
3.104575163,1 PPM
2.941176471,1 PPM
3.267973856,1 PPM
11.76470588,1 PPM
14.37908497,1 PPM
16.50326797,1 PPM
17.97385621,1 PPM
19.28104575,1 PPM
20.58823529,1 PPM
37.90849673,1 PPM
42.81045752,1 PPM
41.99346405,1 PPM
53.43137255,1 PPM
100.1633987,1 PPM
100,1 PPM
99.83660131,1 PPM
