value,group
1.711627907,control
1.879069767,control
2.139534884,control
2.418604651,control
2.958139535,control
2.958139535,control
3.553488372,control
3.572093023,control
3.646511628,control
3.218604651,control
3.106976744,control
4.074418605,control
4.130232558,control
4.279069767,control
4.148837209,control
4.409302326,control
4.48372093,control
4.855813953,control
4.725581395,control
5.302325581,control
5.246511628,control
5.097674419,control
5.190697674,control
5.190697674,control
4.781395349,control
5.953488372,control
6.586046512,control
6.920930233,control
9.544186047,control
9.6,control
1.172093023,0.1 PPM
1.525581395,0.1 PPM
1.637209302,0.1 PPM
1.637209302,0.1 PPM
2.158139535,0.1 PPM
2.009302326,0.1 PPM
2.530232558,0.1 PPM
2.306976744,0.1 PPM
2.827906977,0.1 PPM
2.604651163,0.1 PPM
2.23255814,0.1 PPM
2.679069767,0.1 PPM
2.213953488,0.1 PPM
2.734883721,0.1 PPM
2.530232558,0.1 PPM
2.995348837,0.1 PPM
3.2,0.1 PPM
2.846511628,0.1 PPM
3.293023256,0.1 PPM
3.479069767,0.1 PPM
3.888372093,0.1 PPM
3.553488372,0.1 PPM
3.888372093,0.1 PPM
3.739534884,0.1 PPM
3.68372093,0.1 PPM
3.293023256,0.1 PPM
4.595348837,0.1 PPM
1.469767442,1 PPM
1.544186047,1 PPM
1.972093023,1 PPM
1.562790698,1 PPM
1.934883721,1 PPM
1.953488372,1 PPM
2.176744186,1 PPM
2.176744186,1 PPM
2.530232558,1 PPM
2.288372093,1 PPM
2.530232558,1 PPM
2.604651163,1 PPM
2.56744186,1 PPM
2.56744186,1 PPM
2.586046512,1 PPM
2.958139535,1 PPM
2.809302326,1 PPM
3.218604651,1 PPM
3.051162791,1 PPM
3.088372093,1 PPM
3.590697674,1 PPM
3.386046512,1 PPM
3.013953488,1 PPM
3.013953488,1 PPM
3.311627907,1 PPM
3.404651163,1 PPM
4.037209302,1 PPM
4.260465116,1 PPM
4.63255814,1 PPM
