comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_008,hussian_2020_exp2_005_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,time in top ,group movement ,fig9b,hussian_2020_fig9b,15,10,30,30,33.55949144,62.17238713,35.89524444,62.17238713,11.35107296,study reports mean and se,exact sample size provided,15,10,30,30,7.065231879,93.02820811,53.70986101,93.02820811,16.98454936,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_008,hussian_2020_exp2_006_assay2_001,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,time in top ,group movement ,fig9b,hussian_2020_fig9b,15,10,30,30,33.55949144,62.17238713,35.89524444,62.17238713,11.35107296,study reports mean and se,exact sample size provided,15,10,30,30,26.26000435,91.17112305,52.63767243,91.17112305,16.64549356,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_009,hussian_2020_exp2_005_assay2_002,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,distance between individuals,group arrangment ,fig9c,hussian_2020_fig9c,15,10,30,30,4.824534199,4.518711099,2.60887907,4.518711099,0.825,study reports mean and se,exact sample size provided,15,10,30,30,4.92358061,3.597672378,2.077117115,3.597672378,0.656842105,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_009,hussian_2020_exp2_006_assay2_002,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,distance between individuals,group arrangment ,fig9c,hussian_2020_fig9c,15,10,30,30,4.824534199,4.518711099,2.60887907,4.518711099,0.825,study reports mean and se,exact sample size provided,15,10,30,30,4.659448291,5.174536793,2.98752021,5.174536793,0.944736842,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_010,hussian_2020_exp2_005_assay2_003,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average shoal area,group arrangment ,fig9d,hussian_2020_fig9d,15,10,30,30,4.135462423,4.561338203,2.63348984,4.561338203,0.832782609,study reports mean and se,exact sample size provided,15,10,30,30,4.520607949,1.153789474,0.666140664,1.153789474,0.210652174,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_010,hussian_2020_exp2_006_assay2_003,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average shoal area,group arrangment ,fig9d,hussian_2020_fig9d,15,10,30,30,4.135462423,4.561338203,2.63348984,4.561338203,0.832782609,study reports mean and se,exact sample size provided,15,10,30,30,4.694709997,1.708656239,0.98649314,1.708656239,0.311956522,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_011,hussian_2020_exp2_005_assay2_004,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average nearest neighbor distance,group arrangment ,fig9e,hussian_2020_fig9e,15,10,30,30,3.006780196,4.063105517,2.345835065,4.063105517,0.741818182,study reports mean and se,exact sample size provided,15,10,30,30,3.210303504,2.772282313,1.600577939,2.772282313,0.506147186,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_011,hussian_2020_exp2_006_assay2_004,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average nearest neighbor distance,group arrangment ,fig9e,hussian_2020_fig9e,15,10,30,30,3.006780196,4.063105517,2.345835065,4.063105517,0.741818182,study reports mean and se,exact sample size provided,15,10,30,30,3.00505371,4.068796141,2.349120548,4.068796141,0.742857143,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_001,hussian_2020_exp2_005,hussian_2020_exp_001_assay_012,hussian_2020_exp2_005_assay2_005,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,100,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average farthest neighbor distance,group arrangment ,fig9f,hussian_2020_fig9f,15,10,30,30,5.047787824,6.273273288,3.621876021,6.273273288,1.145337763,study reports mean and se,exact sample size provided,15,10,30,30,3.869802998,3.155318654,1.821724073,3.155318654,0.576079734,study reports mean and se ,exact sample size provided,,,,
,,KM,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,10.3390/ijerph17134632 ,https://www.mdpi.com/1660-4601/17/13/4635,Environmental Research and Public Health,hussian_2020,hussian_2020_exp_002,hussian_2020_exp2_006,hussian_2020_exp_002_assay_012,hussian_2020_exp2_006_assay2_005,zebrafish ,Danio rerio,laboratory stock from not specified source,mixed,paclobutrazol,not reported ,76738-62-0,https://commonchemistry.cas.org/detail?cas_rn=76738-62-0&search=paclobutrazol,triazole,1000,ug/L,14,days,not reported ,26.5,celsius,shoaling,collective behaviour ,average farthest neighbor distance,group arrangment ,fig9f,hussian_2020_fig9f,15,10,30,30,5.047787824,6.273273288,3.621876021,6.273273288,1.145337763,study reports mean and se,exact sample size provided,15,10,30,30,4.638509769,6.076990874,3.508552317,6.076990874,1.109501661,study reports mean and se ,exact sample size provided,,,,
unclear on number of shoals but seems to be one,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_001,khalil_2013_exp_001_assay_001,khalil_2013_exp2_001_assay2_001,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,DTNB,25,celsius,schooling,collective behaviour ,swimming speed,group movement ,fig3a,khalil_2013_fig3a,1.714285714,1,6,6,1.384735636,0.634615385,0.259080646,0.634615385,0.259080646,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,1.292427943,0.484615385,0.197843402,0.484615384,0.197843402,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_002,khalil_2013_exp_001_assay_002,khalil_2013_exp2_002_assay2_001,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,DTNB,25,celsius,schooling,collective behaviour ,swimming speed,group movement ,fig3a,khalil_2013_fig3a,1.714285714,1,6,6,0.727043328,0.138461538,0.056526686,0.138461538,0.056526686,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,1.442427943,0.496153846,0.202553959,0.496153845,0.202553959,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_001,khalil_2013_exp_001_assay_003,khalil_2013_exp2_001_assay2_002,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,DTNB,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig3c,khalil_2013_fig3c,1.714285714,1,6,6,8.592978583,4.740740741,1.935399303,4.740740741,1.935399303,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,6.852237843,2.592592593,1.058421494,2.592592593,1.058421494,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_002,khalil_2013_exp_001_assay_004,khalil_2013_exp2_002_assay2_002,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,DTNB,25,celsius,schooling,collective behaviour ,duration,duration of group behaviour,fig3c,khalil_2013_fig3c,1.714285714,1,6,6,5.296682287,3.925925926,1.602752548,3.925925927,1.602752548,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,2.704089695,1.148148148,0.468729519,1.148148149,0.468729519,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_001,khalil_2013_exp_001_assay_005,khalil_2013_exp2_001_assay2_003,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,DTNB,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig3d,khalil_2013_fig3d,1.714285714,1,6,6,42.39508035,57.97101449,23.66656756,57.97101449,23.66656756,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,81.52551513,43.47826087,17.74992567,43.47826086,17.74992567,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_002,khalil_2013_exp_001_assay_006,khalil_2013_exp2_002_assay2_003,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,DTNB,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig3d,khalil_2013_fig3d,1.714285714,1,6,6,31.16319629,8.333333333,3.402069087,8.333333333,3.402069087,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,43.11971803,14.13043478,5.768725844,14.13043478,5.768725844,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_001,khalil_2013_exp_001_assay_007,khalil_2013_exp2_001_assay2_004,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,DTNB,25,celsius,shoaling,collective behaviour ,duration,duration of group behaviour,fig3g,khalil_2013_fig3g,1.714285714,1,6,6,4.20843672,4.108910891,1.677455847,4.108910891,1.677455847,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,7.1292288,0.891089109,0.363785605,0.891089108,0.363785605,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_002,khalil_2013_exp_001_assay_008,khalil_2013_exp2_002_assay2_004,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,DTNB,25,celsius,shoaling,collective behaviour ,duration,duration of group behaviour,fig3g,khalil_2013_fig3g,1.714285714,1,6,6,9.20843672,2.277227723,0.929674325,2.277227723,0.929674325,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,10.14903078,0.841584158,0.343575294,0.841584159,0.343575294,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_001,khalil_2013_exp_001_assay_009,khalil_2013_exp2_001_assay2_005,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,DTNB,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig3h,khalil_2013_fig3h,1.714285714,1,6,6,54.51519615,44.73684211,18.26373931,44.7368421,18.26373931,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,68.04903073,20.67669173,8.441224051,20.67669173,8.441224051,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Alterations in social behavior of Japanese medaka (Oryzias latipes) in response to sublethal chlorpyrifos exposure,10.1016/j.chemosphere.2013.02.042,https://www.sciencedirect.com/science/article/pii/S0045653513003500?via%3Dihub,Chemosphere,khalil_2013,khalil_2013_exp_001,khalil_2013_exp2_002,khalil_2013_exp_001_assay_010,khalil_2013_exp2_002_assay2_005,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,DTNB,25,celsius,shoaling,collective behaviour ,frequency,frequency of group behaviour,fig3h,khalil_2013_fig3h,1.714285714,1,6,6,56.3948954,19.17293233,7.827316847,19.17293233,7.827316847,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),1.714285714,1,6,6,57.89865479,7.142857143,2.916059218,7.142857144,2.916059218,study reports mean and sd,states six fish were placed in recording glass aquarium for social behaviour (section 2.4. Subacute testing),,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_001,khalil_2017_exp2_001_assay2_001,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,ethanol,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig1a,khalil_2017_fig1a,1.6,1,4,4,25.16225085,6.543778802,3.271889401,6.543778802,3.271889401,study reports mean and sd,exact sample size provided,1.6,1,4,4,21.62279789,5.952380952,5.952380952,11.9047619,5.952380952,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_002,khalil_2017_exp2_001_assay2_002,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,ethanol,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig1a,khalil_2017_fig1a,1.6,1,4,4,13.73367942,1.658986175,0.829493088,1.658986176,0.829493088,study reports mean and sd,exact sample size provided,1.6,1,4,4,18.79744909,4.838709677,4.838709677,9.677419354,4.838709677,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_003,khalil_2017_exp2_001_assay2_003,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,12,days,ethanol,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig1a,khalil_2017_fig1a,1.6,1,4,4,12.87428283,3.158525346,1.579262673,3.158525346,1.579262673,study reports mean and sd,exact sample size provided,1.6,1,4,4,4.424923664,0.368663594,0.368663594,0.737327188,0.368663594,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_002,khalil_2017_exp2_002,khalil_2017_exp_002_assay_001,khalil_2017_exp2_002_assay2_001,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.12,mg/L,4,days,ethanol,25,celsius,schooling,collective behaviour ,frequency,frequency of group behaviour,fig1a,khalil_2017_fig1a,1.6,1,4,4,25.16225085,6.543778802,3.271889401,6.543778802,3.271889401,study reports mean and sd,exact sample size provided,1.6,1,4,4,7.650730115,2.119815668,2.119815668,4.239631336,2.119815668,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_004,khalil_2017_exp2_001_assay2_004,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,4,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,2.628309339,0.924187726,0.462093863,0.924187726,0.462093863,study reports mean and sd,exact sample size provided,1.6,1,4,4,2.628309339,0.924187726,0.42755716,0.85511432,0.42755716,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_005,khalil_2017_exp2_001_assay2_005,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,8,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,1.717924461,0.404969716,0.202484858,0.404969716,0.202484858,study reports mean and sd,exact sample size provided,1.6,1,4,4,1.717924461,0.404969716,1.038411552,2.076823104,1.038411552,study reports mean and sd,exact sample size provided,,,,
,,KM,Comparison of social behavior responses of Japanese medaka (Oryzias latipes) to lethal and sublethal chlorpyrifos concentrations at different exposure times,10.1016/j.ecoenv.2017.07.007,https://www.sciencedirect.com/science/article/pii/S0147651317304219?via%3Dihub,Ecotoxicology and Environmental Safety,khalil_2017 ,khalil_2017_exp_001,khalil_2017_exp2_001,khalil_2017_exp_001_assay_006,khalil_2017_exp2_001_assay2_006,Japanese medaka,Oryzias latipes,laboratory stock from not specified source,not reported ,chlorpyrifos,analytical,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.012,mg/L,12,days,ethanol,25,celsius,schooling,collective behaviour ,duration ,duration of group behaviour,fig1b,khalil_2017_fig1b,1.6,1,4,4,1.81709881,0.41612515,0.208062575,0.41612515,0.208062575,study reports mean and sd,exact sample size provided,1.6,1,4,4,1.81709881,0.41612515,0.036101083,0.072202166,0.036101083,study reports mean and sd,exact sample size provided,,,,
