"Group","Mean","SD","SE","Sample"
"0.1 PPM",3.24930570390323,1.47745514296292,0.265358777182867,31
"1 PPM",3.63451986746875,2.30880846521965,0.40814353055443,32
"control",2.6748344371,1.55608910664735,0.284101701732938,30
