"Group","Mean","SD","SE","Sample"
"0.1 PPM",4.83736589815385,0.796153888630848,0.156138623613518,26
"1 PPM",4.8794510385625,1.37022805850762,0.242224387985704,32
"control",4.63726593672414,1.02095192191475,0.18958601240247,29
