id,group,n_fish,n_shoal,n,mean ,se
zhou_2021_exp_001_assay_003,control,22,6,6,2.577805689,0.34541958
zhou_2021_exp_002_assay_003,control,22,6,6,2.577805689,0.34541958
zhou_2021_exp_003_assay_003,control,22,6,6,2.577805689,0.34541958
zhou_2021_exp_004_assay_003,control,22,6,6,2.577805689,0.34541958
zhou_2021_exp_001_assay_003,treatment,22,6,6,3.095935059,0.499458042
zhou_2021_exp_002_assay_003,treatment,22,6,6,2.405095898,0.121363636
zhou_2021_exp_003_assay_003,treatment,22,6,6,1.928977017,0.252062937
zhou_2021_exp_003_assay_004,treatment,22,6,6,1.513539954,0.21472028
