"Group","Mean","SD","SE","Sample"
"0.1 PPM",4.04738900392593,0.534639471543088,0.1028914142716,27
"1 PPM",4.76669254659375,1.04131610616996,0.184080420007888,32
"control",5.33788819876667,1.15783139812524,0.21139012484698,30
