"id","group","n_fish","n_shoal","n","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"faria_2021_exp_001_assay_001","control",19,6.3333333,19,6.347368421,0.455434271,3.00000001578947,2.00000000789474,9.4999999625,1.14615111104989,1.98519196271412
"faria_2021_exp_002_assay_001","control",19,6.3333333,19,6.347368421,0.455434271,3.00000001578947,2.00000000789474,9.4999999625,1.14615111104989,1.98519196271412
"faria_2021_exp_001_assay_002","control",20,6.6666667,20,8.915662651,0.69291471,2.999999985,1.9999999925,10.0000000375,1.78909809258751,3.09880878833911
"faria_2021_exp_002_assay_002","control",20,6.6666667,20,8.915662651,0.69291471,2.999999985,1.9999999925,10.0000000375,1.78909809258751,3.09880878833911
"faria_2021_exp_001_assay_001","treatment",21,7,21,4.598095238,0.386786282,3,2,10.5,1.0233403127033,1.77247741503554
"faria_2021_exp_002_assay_001","treatment",19,6.3333333,19,4.185263158,0.26476887,3.00000001578947,2.00000000789474,9.4999999625,0.666320375617767,1.15410074772546
"faria_2021_exp_001_assay_002","treatment",20,6.6666667,20,7.510843373,0.557819889,2.999999985,1.9999999925,10.0000000375,1.44028476378756,2.49464638201077
"faria_2021_exp_002_assay_002","treatment",19,6.3333333,19,6.381737476,0.410211192,3.00000001578947,2.00000000789474,9.4999999625,1.03234219164833,1.78806913143736
