"Group","Mean","SD","SE","Sample"
"0.1 PPM",66.9565675736452,24.1378718858667,4.33528977034469,31
"1 PPM",63.5831752048387,27.6210412725748,4.9608854600548,31
"control",72.1568627454333,25.6870243238026,4.68978755244352,30
