"Group","Mean","SD","SE","Sample"
"0.1 PPM",3.37121212125,0.586273156066888,0.11967250685458,24
"1 PPM",3.43376623382143,0.977543212278991,0.184738302536388,28
"control",3.14199134196429,0.710983743899142,0.134363298040483,28
