"","Group","Mean","SD","SE","Sample"
"0.3g","0.3g",45.68965517375,11.2390245822556,2.80975614556389,16
"3g","3g",45.294540229375,15.0522332294156,3.76305830735389,16
"control","control",61.0344827586667,19.7736111191732,5.10552443726265,15
