"id","group","n_fish","n_shoal","n","mean","se","mean_n","design_effect","n_effective","sd_shoal","sd_fish"
"hawkey_2021_exp_001_assay_001","control",46,15.33333333,46,184.4213398,12.5,3.00000000065217,2.00000000032609,22.99999999625,48.9472505133077,84.7791247890658
"hawkey_2021_exp_002_assay_001","control",46,15.33333333,46,184.4213398,12.5,3.00000000065217,2.00000000032609,22.99999999625,48.9472505133077,84.7791247890658
"hawkey_2021_exp_003_assay_001","control",46,15.33333333,46,184.4213398,12.5,3.00000000065217,2.00000000032609,22.99999999625,48.9472505133077,84.7791247890658
"hawkey_2021_exp_001_assay_002","control",46,15.33333333,46,4.169755824,0.9408,3.00000000065217,2.00000000032609,22.99999999625,3.68396586263359,6.38081604812425
"hawkey_2021_exp_002_assay_002","control",46,15.33333333,46,4.169755824,0.9408,3.00000000065217,2.00000000032609,22.99999999625,3.68396586263359,6.38081604812425
"hawkey_2021_exp_003_assay_002","control",46,15.33333333,46,4.169755824,0.9408,3.00000000065217,2.00000000032609,22.99999999625,3.68396586263359,6.38081604812425
"hawkey_2021_exp_004_assay_001","control",37,12.33333333,37,5.142963907,1.351466667,3.00000000081081,2.00000000040541,18.49999999625,4.74619495336993,8.22065080297462
"hawkey_2021_exp_005_assay_001","control",37,12.33333333,37,5.142963907,1.351466667,3.00000000081081,2.00000000040541,18.49999999625,4.74619495336993,8.22065080297462
"hawkey_2021_exp_006_assay_001","control",37,12.33333333,37,5.142963907,1.351466667,3.00000000081081,2.00000000040541,18.49999999625,4.74619495336993,8.22065080297462
"hawkey_2021_exp_001_assay_001","treatment",47,15.66666667,47,167.6488638,10.43918919,2.9999999993617,1.99999999968085,23.50000000375,41.3195011888518,71.5674753948803
"hawkey_2021_exp_002_assay_001","treatment",42,14,42,191.4803442,13.96621622,3,2,21,52.256796084845,90.511425859718
"hawkey_2021_exp_003_assay_001","treatment",32,10.66666667,32,226.6114671,14.30067568,2.9999999990625,1.99999999953125,16.00000000375,46.7058111980029,80.8968379910203
"hawkey_2021_exp_001_assay_002","treatment",47,15.66666667,47,6.443355824,1.1312,2.9999999993617,1.99999999968085,23.50000000375,4.47741859009542,7.75511648397366
"hawkey_2021_exp_002_assay_002","treatment",42,14,42,6.779355824,1.2432,3,2,21,4.65162846323736,8.05685683626065
"hawkey_2021_exp_003_assay_002","treatment",32,10.66666667,32,2.344155824,1.6128,2.9999999990625,1.99999999953125,16.00000000375,5.26738274370398,9.12337453358131
"hawkey_2021_exp_004_assay_001","treatment",35,11.66666667,35,7.379319462,1.3032,2.99999999914286,1.99999999957143,17.50000000375,4.45127541336875,7.70983517333542
"hawkey_2021_exp_005_assay_001","treatment",39,13,39,0.943763907,1.689333333,3,2,19.5,6.09097795348198,10.5498832832127
"hawkey_2021_exp_006_assay_001","treatment",23,7.666666667,23,2.19869724,1.287111111,2.99999999986957,1.99999999993478,11.500000000375,3.56384928969734,6.17276804013986
