comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,effect_direction,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_006,bridi_2017_exp2_006,bridi_2017_exp_006_assay_001,bridi_2017_exp2_006_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,NA,fig6a,bridi_2017_fig6a,NA,NA,NA,26,122.2071971,28.87706826,NA,NA,5.663259022,study reports mean and se,exact sample size provided,NA,NA,NA,26,94.64846929,16.30468359,NA,NA,3.19761153,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_001,bridi_2017_exp2_001,bridi_2017_exp_001_assay_002,bridi_2017_exp2_001_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,27.75571333,10.66874599,NA,NA,2.092313231,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_002,bridi_2017_exp2_002,bridi_2017_exp_002_assay_002,bridi_2017_exp2_002_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,24.82354168,12.73492858,NA,NA,2.497524975,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_003,bridi_2017_exp2_003,bridi_2017_exp_003_assay_002,bridi_2017_exp2_003_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,21.99909561,6.167835682,NA,NA,1.209612096,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_004,bridi_2017_exp2_004,bridi_2017_exp_004_assay_002,bridi_2017_exp2_004_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,24.83356868,9.477328557,NA,NA,1.858657048,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_005,bridi_2017_exp2_005,bridi_2017_exp_005_assay_002,bridi_2017_exp2_005_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,23.43819558,6.691000316,NA,NA,1.312213122,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_006,bridi_2017_exp2_006,bridi_2017_exp_006_assay_002,bridi_2017_exp2_006_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,NA,fig6b,bridi_2017_fig6b,NA,NA,NA,26,39.48584365,18.80427376,NA,NA,3.687821494,study reports mean and se,exact sample size provided,NA,NA,NA,26,24.70848757,5.893544912,NA,NA,1.155819251,study reports mean and se,exact sample size provided,,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp2_001,chen_2022_exp_001_assay_001,chen_2022_exp2_001_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4a,chen_2022_fig4a,NA,NA,NA,8,180.9746781,23.4351145,NA,NA,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,126.7255128,19.84732824,NA,NA,7.017090195,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp2_002,chen_2022_exp_002_assay_001,chen_2022_exp2_002_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4a,chen_2022_fig4a,NA,NA,NA,8,180.9746781,23.4351145,NA,NA,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,189.5675534,61.71246819,NA,NA,21.81865237,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp2_003,chen_2022_exp_003_assay_001,chen_2022_exp2_003_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4a,chen_2022_fig4a,NA,NA,NA,8,180.9746781,23.4351145,NA,NA,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,68.48612846,27.34096692,NA,NA,9.666491557,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp2_001,chen_2022_exp_001_assay_002,chen_2022_exp2_001_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4b,chen_2022_fig4b,NA,NA,NA,8,199.3015298,29.65655791,NA,NA,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,195.59446,41.45177981,NA,NA,14.6554173,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp2_002,chen_2022_exp_002_assay_002,chen_2022_exp2_002_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4b,chen_2022_fig4b,NA,NA,NA,8,199.3015298,29.65655791,NA,NA,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,194.2464347,23.25343745,NA,NA,8.221331654,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp2_003,chen_2022_exp_003_assay_002,chen_2022_exp2_003_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4b,chen_2022_fig4b,NA,NA,NA,8,199.3015298,29.65655791,NA,NA,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,222.5549672,34.37464667,NA,NA,12.15327288,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp2_001,chen_2022_exp_001_assay_003,chen_2022_exp2_001_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4c,chen_2022_fig4c,NA,NA,NA,8,145.9508599,5.324916895,NA,NA,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,122.1935383,25.80536649,NA,NA,9.123574818,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp2_002,chen_2022_exp_002_assay_003,chen_2022_exp2_002_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4c,chen_2022_fig4c,NA,NA,NA,8,145.9508599,5.324916895,NA,NA,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,137.5538755,11.67385627,NA,NA,4.127331465,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp2_003,chen_2022_exp_003_assay_003,chen_2022_exp2_003_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near potential mate,NA,fig4c,chen_2022_fig4c,NA,NA,NA,8,145.9508599,5.324916895,NA,NA,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),NA,NA,NA,8,108.0620281,4.710503407,NA,NA,1.665414451,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,"Neonicotinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_001,chung_2023_exp2_001,chung_2023_exp_001_assay_001,chung_2023_exp2_001_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.1,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between potential mates,change,fig5c,chung_2023_fig5c,NA,NA,NA,10,4.437140986,1.861305535,NA,NA,0.588596491,study reports mean and se,exact sample size provided,NA,NA,NA,10,10.26143516,4.726772924,NA,NA,1.494736842,study reports mean and se,exact sample size provided,,,,
,,KM,"Neonicotinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_002,chung_2023_exp2_002,chung_2023_exp_002_assay_001,chung_2023_exp2_002_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.5,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between potential mates,change,fig5c,chung_2023_fig5c,NA,NA,NA,10,4.437140986,1.861305535,NA,NA,0.588596491,study reports mean and se,exact sample size provided,NA,NA,NA,10,11.4526297,4.969144863,NA,NA,1.571381579,study reports mean and se,exact sample size provided,,,,
,,KM,"Neonicotinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_003,chung_2023_exp2_003,chung_2023_exp_003_assay_001,chung_2023_exp2_003_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,1,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between potential mates,change,fig5c,chung_2023_fig5c,NA,NA,NA,10,4.437140986,1.861305535,NA,NA,0.588596491,study reports mean and se,exact sample size provided,NA,NA,NA,10,14.63122528,4.921294609,NA,NA,1.55625,study reports mean and se,exact sample size provided,,,,
,,KM,"Neonicotinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_001,chung_2023_exp2_004,chung_2023_exp_001_assay_002,chung_2023_exp2_004_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,male ,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.1,ppm,5,days,none,25,celsius,defensive alert behaviour,aggression,male confrontation distance,confrontation distance,change,fig6c,chung_2023_fig6c,NA,NA,NA,10,16.59920513,4.969572384,NA,NA,1.571516773,study reports mean and se,exact sample size provided,NA,NA,NA,10,13.46501111,4.915229889,NA,NA,1.554332167,study reports mean and se,exact sample size provided,,,,
