comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_n,control_mean,control_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_n,treatment_mean,treatment_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_006,bridi_2017_exp2_006,bridi_2017_exp_006_assay_001,bridi_2017_exp2_006_assay2_001,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,time spent close to stimulus,time spent in aggression zone,fig6a,bridi_2017_fig6a,26,122.2071971,28.87706826,5.663259022,study reports mean and se,exact sample size provided,26,94.64846929,16.30468359,3.19761153,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_001,bridi_2017_exp2_001,bridi_2017_exp_001_assay_002,bridi_2017_exp2_001_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,27.75571333,10.66874599,2.092313231,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_002,bridi_2017_exp2_002,bridi_2017_exp_002_assay_002,bridi_2017_exp2_002_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,24.82354168,12.73492858,2.497524975,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_003,bridi_2017_exp2_003,bridi_2017_exp_003_assay_002,bridi_2017_exp2_003_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,glyphosate,not reported,1071-83-6,https://commonchemistry.cas.org/detail?cas_rn=1071-83-6&search=GLYPHOSATE,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,21.99909561,6.167835682,1.209612096,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_004,bridi_2017_exp2_004,bridi_2017_exp_004_assay_002,bridi_2017_exp2_004_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.01,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,24.83356868,9.477328557,1.858657048,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_005,bridi_2017_exp2_005,bridi_2017_exp_005_assay_002,bridi_2017_exp2_005_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.065,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,23.43819558,6.691000316,1.312213122,study reports mean and se,exact sample size provided,,,,
,,KM,Glyphosate and Roundup® alter morphology and behavior in zebrafish,10.1016/j.tox.2017.10.007,https://www.sciencedirect.com/science/article/pii/S0300483X17303128?via%3Dihub,Toxicology,bridi_2017,bridi_2017_exp_006,bridi_2017_exp2_006,bridi_2017_exp_006_assay_002,bridi_2017_exp2_006_assay2_002,zebrafish,Danio rerio,commercial supplier,mixed,roundup,commercial  ,38641-94-0,https://commonchemistry.cas.org/detail?cas_rn=38641-94-0&search=ROUNDUP,organophosphate,0.5,mg/L,96,hours,none,26,celsius,aggression,aggression,number of enteries,frequency of entries into aggression zone,fig6b,bridi_2017_fig6b,26,39.48584365,18.80427376,3.687821494,study reports mean and se,exact sample size provided,26,24.70848757,5.893544912,1.155819251,study reports mean and se,exact sample size provided,,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp_001_assay_001,chen_2022_exp2_001,chen_2022_exp2_001_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4a,chen_2022_fig4a,8,180.9746781,23.4351145,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,126.7255128,19.84732824,7.017090195,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp_002_assay_001,chen_2022_exp2_002,chen_2022_exp2_002_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4a,chen_2022_fig4a,8,180.9746781,23.4351145,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,189.5675534,61.71246819,21.81865237,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp_003_assay_001,chen_2022_exp2_003,chen_2022_exp2_003_assay2_001,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4a,chen_2022_fig4a,8,180.9746781,23.4351145,8.285564192,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,68.48612846,27.34096692,9.666491557,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
